,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0,lower_limit_salary,upper_limit_salary
826,AI/ML Engineer,Southern Glazer's Wine & Spirits,Hollywood,LinkedIn,Full-time,1,1,3,"[0, 0]",1,1,30,172.0,0,0.0
827,"Senior Machine Learning Ops Engineer, ML System",ByteDance,Seattle,LinkedIn,Full-time,1,1,2,"[300, 337]",1,1,15,173.0,300,337.0
828,DevOps / Machine Learning Ops Engineer - AWS,Zelis,Florida • via LinkedIn,LinkedIn,Full-time,1,0,5,"[0, 0]",1,1,11,174.0,0,0.0
829,Senior Machine Learning Engineer,QTS Data Centers,Ashburn,LinkedIn,Full-time,1,1,5,"[102000, 174080]",1,1,2,175.0,102000,174080.0
830,Staff Machine Learning Engineer - Merchant Tax Categorization Service,DoorDash,New York,LinkedIn,Full-time,1,1,6,"[119100, 175100]",1,1,1,176.0,119100,175100.0
831,Principal Machine Learning Engineer,Intuit,Atlanta,LinkedIn,Full-time,0,0,0,"[0, 0]",1,1,9,177.0,0,0.0
832,Machine Learning Research Engineer,Optiver,Austin,LinkedIn,Contractor,1,0,0,"[0, 0]",1,0,24,178.0,0,0.0
833,Machine Learning Operations Engineer,"KCI Technologies, Inc.",Sparks,LinkedIn,Full-time,0,0,5,"[0, 0]",1,0,11,179.0,0,0.0
834,Data Management – Big Data/Machine Learning Engineer – Sr,Strategic Staffing Solutions,Henrico,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,12,180.0,0,0.0
835,Senior AI/ML Engineer,Drips,Las Vegas,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,23,181.0,0,0.0
836,Data Analyst,"netPolarity, Inc. (Saicon Consultants, Inc.)",Cupertino,LinkedIn,Contractor,0,0,5,"[96000, 120960]",0,0,1,182.0,96000,120960.0
837,"Staff Data Scientist, Personalization",Intuit,Mountain View,Intuit Careers,Full-time,0,0,0,"[0, 0]",0,0,1,183.0,0,0.0
838,"Staff Data Analyst, Enterprise Analytics",Zendesk,San Francisco,Zendesk,Full-time,1,0,0,"[154000, 230000]",0,0,2,184.0,154000,230000.0
839,"Business Intelligence/Data Analyst, Customer Success",Block,San Francisco,LinkedIn,Full-time,0,0,3,"[111700, 167500]",0,0,2,185.0,111700,167500.0
840,"Operations Data Analyst, Senior",PG&E Corporation,Oakland,Pacific Gas And Electric Company - PG&E,Full-time,0,0,0,"[0, 0]",0,0,2,186.0,0,0.0
841,"Data Analyst, Research",Stanford University,Stanford,DataAnalyst.com,Full-time,0,0,0,"[480, 178560]",1,0,2,187.0,480,178560.0
842,Senior HR Data Analyst,Cloud Software Group,Santa Clara,Cloud Software Group,Full-time,1,0,7,"[0, 0]",1,0,30,188.0,0,0.0
843,Data Analyst,InterSources,Fremont,ZipRecruiter,Full-time,0,0,0,"[0, 0]",1,0,30,189.0,0,0.0
844,Data Analyst: 24-02793,Akraya Inc.,San Francisco,Akraya,Contractor,0,0,0,"[144000, 153600]",0,0,3,190.0,144000,153600.0
845,Senior Data Analyst,Info Way Solutions,Fremont,LinkedIn,Full-time,0,0,3,"[0, 0]",0,0,30,191.0,0,0.0
846,"Data Analyst, Sales Analytics",Lucid,Newark,DataAnalyst.com,Full-time,0,0,3,"[108000, 146000]",0,0,9,192.0,108000,146000.0
847,"Data Analyst ll, Ecommerce Product Analytics",Tailored Brands,Fremont,Tailored Brands Login,Full-time,0,0,0,"[0, 0]",0,0,30,193.0,0,0.0
848,Data Analyst – Spotfire,BrainyPro,Fremont,Indeed,Full-time,0,0,0,"[0, 0]",0,0,30,194.0,0,0.0
849,Business Data Analyst - SQL and DB Skills OR SCRUM MASTER with SQL Experience,E-Solutions INC,Sunnyvale,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,3,195.0,0,0.0
850,Content Strategy Analyst/Data Analyst,SPECTRAFORCE,Cupertino,LinkedIn,Full-time,1,1,5,"[0, 0]",0,0,3,196.0,0,0.0
851,Senior Staff Technical Data Analyst,Intuit,Mountain View,Intuit Careers,Full-time,0,0,0,"[0, 0]",0,0,19,197.0,0,0.0
852,Data Analyst - Limited Term (Open),County of San Mateo,San Mateo,Glassdoor,Full-time,1,1,3,"[458, 280320]",0,1,30,198.0,458,280320.0
853,"Data Analyst, Treasury",Wisetack,San Francisco,Greenhouse,Full-time,0,0,5,"[83300, 116600]",0,1,30,199.0,83300,116600.0
854,Entry Level Data Analyst (Remote),SynergisticIT,Santa Clara,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,1,30,200.0,0,0.0
855,"Data Analyst, Revenue Operations",Workday,Pleasanton,DataAnalyst.com,Full-time,0,0,3,"[107000, 161000]",0,1,2,201.0,107000,161000.0
856,GIS Data Analyst (1052),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,1,30,202.0,0,0.0
857,Support Executive - Data Analyst,Diverse Lynx,Cupertino,LinkedIn,Full-time,0,0,0,"[0, 0]",0,1,5,203.0,0,0.0
858,Senior Business Data Analyst,Intuit,Mountain View,Intuit Careers,Full-time,0,0,0,"[0, 0]",0,0,27,204.0,0,0.0
859,Senior Data Analyst,Klarity,Redwood City,DataAnalyst.com,Full-time,0,0,5,"[100000, 140000]",0,0,2,205.0,100000,140000.0
860,Data Analyst,VDart Inc,Cupertino,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,4,206.0,0,0.0
861,Data Analysts,Zoxima,Fremont,Indeed,Part-time,0,0,0,"[0, 0]",0,0,30,207.0,0,0.0
862,Survey Data Analyst,Survey Junkie,Newark,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",0,0,4,208.0,249600,249600.0
863,"Computational Biologist & Engineer in Genomics (Engreitz Lab, Research Data Analyst 1)",School of Medicine,Stanford,Stanford Medicine - Stanford University,Full-time and Part-time,0,0,0,"[66560, 97000]",1,1,30,209.0,66560,97000.0
864,"Manager, Business Analysis And Insights - Data Analytics, Walmart Connect",Walmart,San Bruno,Walmart Careers,Full-time,1,1,4,"[84000, 156000]",1,1,6,210.0,84000,156000.0
865,Data Analyst,NetApp,Campbell,Adzuna,Internship,1,0,0,"[112200, 157800]",1,1,30,211.0,112200,157800.0
866,Data Analyst (Payments): 24-02389,Akraya Inc.,San Jose,Akraya,Contractor,0,0,0,"[103680, 109440]",0,1,30,212.0,103680,109440.0
867,Data Analyst Intern,Snap,Mountain View,The Muse,Full-time,0,0,0,"[0, 0]",0,0,30,213.0,0,0.0
868,Junior Data Scientist/Analyst (Remote),SynergisticIT,San Jose,LinkedIn,Full-time,0,0,0,"[192000, 192000]",0,0,30,214.0,192000,192000.0
869,Business Analyst - Remote,Stanford University,Stanford,Inside Higher Ed Careers,Full-time,1,0,0,"[0, 0]",0,0,30,215.0,0,0.0
870,Data Analyst- Product Analytics,Walmart,Sunnyvale,JobzMall,Full-time,0,0,0,"[936, 276480]",0,0,30,216.0,936,276480.0
871,Senior Data Analyst,TecTammina,Pleasanton,ZipRecruiter,Full-time,0,0,0,"[0, 0]",1,0,1,217.0,0,0.0
872,"Data Entry, Customer Service Specialist and Data Analyst",Rainbow Restoration,San Francisco,Glassdoor,Full-time,0,0,0,"[57600, 57600]",1,0,25,218.0,57600,57600.0
873,Medical Education Data Analyst,University of California - Riverside,Oakland,Diversity Jobs,"Full-time, Part-time, and Contractor",0,0,0,"[61000, 107000]",1,1,5,219.0,61000,107000.0
874,Junior Administrative Analyst (1820) - Multiple Departments Citywide (C00185),City and County of San Francisco,San Francisco,SF Careers,Contractor,0,0,0,"[0, 0]",0,1,30,220.0,0,0.0
875,It Data Analyst,Matal,San Jose,OPTnation,Full-time,0,0,3,"[51000, 62000]",0,1,30,221.0,51000,62000.0
876,Data Analyst II - Fraud and Risk Analysis,AVA Consulting,San Jose,Dice,Full-time,0,0,0,"[0, 0]",0,0,18,222.0,0,0.0
877,Business / Data Analyst,InterSources Inc,San Jose,LinkedIn,Contractor,0,0,3,"[0, 0]",0,0,30,223.0,0,0.0
878,Project Coordinator & Data Analyst,IT Management Corp. dba 101 VOICE,Santa Clara,Smart Recruiters Jobs,Full-time,0,0,0,"[0, 0]",0,0,30,224.0,0,0.0
879,Data security analyst jobs in atlanta ga,Google,Mountain View,Prominentsportssouth.com,Full-time,0,0,0,"[76800, 76800]",0,0,4,225.0,76800,76800.0
880,Data Analyst,DUOPEAK,Menlo Park,Indeed,Full-time,1,0,0,"[0, 0]",0,0,30,226.0,0,0.0
881,"Data Analyst Mountain View, California (Hybrid - 4 days in office, Friday WFH)",Stellent IT LLC,Anywhere • via Adzuna,Adzuna,Full-time,0,0,6,"[0, 0]",1,1,8,227.0,0,0.0
882,Senior / Data Analyst - Growth Product,Curology,San Francisco,Powderkeg,Full-time,1,1,5,"[0, 0]",1,1,30,228.0,0,0.0
883,"Data Analyst, E-commerce",TikTok,San Jose,DataAnalyst.com,Full-time,0,0,3,"[153000, 296000]",1,1,2,229.0,153000,296000.0
884,Market Data Analyst - Global Securities Master (GSM),SRA OSS,San Jose,Glassdoor,Full-time,0,0,0,"[0, 0]",0,1,30,230.0,0,0.0
885,"AIML - Sr Data Scientist, AIML Data",Apple,Cupertino,Careers At Apple,Contractor,1,1,5,"[143100, 264200]",0,1,30,231.0,143100,264200.0
886,Sales Data Analyst,Clipboard Health,San Francisco,Greenhouse,Contractor,0,0,0,"[0, 0]",0,1,30,232.0,0,0.0
887,Data & Business Intelligence Analyst,Candidate Portal,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,7,"[94080, 111360]",0,0,17,233.0,94080,111360.0
888,Insight Global,Insight Global,San Francisco,Insight Global,Full-time,0,0,0,"[0, 0]",0,0,30,234.0,0,0.0
889,"Senior Data Analyst, Expenses",Navan,Palo Alto,DataAnalyst.com,Full-time,0,0,5,"[160000, 200000]",0,0,2,235.0,160000,200000.0
890,Business & Data Analyst,QBurst,Emeryville,Salary.com,Full-time,0,0,2,"[0, 0]",0,0,10,236.0,0,0.0
891,Senior Data Analyst,Humana Inc.,Campbell,Employment Crossing,Full-time,0,0,0,"[0, 0]",0,0,30,237.0,0,0.0
892,Business Reporting Analyst,Apple,Santa Clara,JobzMall,Full-time,0,0,0,"[74000, 95000]",0,0,30,238.0,74000,95000.0
893,Health Information Management Data Analyst I,Health Plan of San Mateo,South San Francisco,Indeed,Full-time,1,1,0,"[21120, 188160]",0,1,30,239.0,21120,188160.0
894,"Analytic Product Operation, Data Platform",TikTok,San Jose,Glassdoor,Full-time,1,1,0,"[72960, 126720]",0,1,30,240.0,72960,126720.0
895,Data Scientist/Data Engineer (1042),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,1,30,241.0,0,0.0
896,"Global Senior Business Process Analyst, Contingent Workforce",Western Digital,Milpitas,Smart Recruiters Jobs,Full-time,1,1,0,"[0, 0]",0,1,9,242.0,0,0.0
897,User Growth TikTok Shop Data Analyst - USDS,TikTok,Mountain View,LinkedIn,"Full-time, Part-time, and Contractor",1,1,3,"[400, 339840]",0,1,19,243.0,400,339840.0
898,Data Aide 2,School of Medicine,Stanford,Stanford Medicine - Stanford University,Full-time,0,0,0,"[59520, 67200]",0,1,30,244.0,59520,67200.0
899,Salesforce Data Analyst,Apollose,San Jose,OPTnation,Full-time,0,0,0,"[103000, 104000]",0,0,30,245.0,103000,104000.0
900,"Associate Director, Data Analyst",Stanford University,Stanford,ZipRecruiter,Full-time,1,0,0,"[104358, 128038]",0,0,4,246.0,104358,128038.0
901,"Data Analyst, Operations",One Workplace,Santa Clara,DataAnalyst.com,Full-time,0,0,5,"[507, 138240]",1,1,2,247.0,507,138240.0
902,Data Analytics Engineer,Natron Energy,Santa Clara,LinkedIn,Full-time,1,1,2,"[106500, 155500]",1,1,30,248.0,106500,155500.0
903,"Manager 2, Business Data Analytics",Intuit,Mountain View,Intuit Careers,Full-time,0,0,0,"[0, 0]",1,1,19,249.0,0,0.0
904,Junior Administrative Analyst (Policy & Data Development Unit) - Office of the Chief Strategy Officer - SF Municipal Transportation Agency (1820),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[75608, 91936]",0,0,30,250.0,75608,91936.0
905,Data Analyst (Life Sciences Specialist) (Direct hire $125-210k) telecommute,"Walter Bacon, LLC",San Francisco,Smart Recruiters Jobs,"Full-time, Part-time, and Contractor",0,0,3,"[0, 0]",0,0,30,251.0,0,0.0
906,"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,Palo Alto,Ladders,Full-time,0,0,2,"[82468, 106256]",1,1,2,252.0,82468,106256.0
907,Senior Data Analyst,Harvey,San Francisco,Adzuna,Part-time,1,1,9,"[155000, 220000]",1,1,30,253.0,155000,220000.0
908,Sr Data Analyst,Atechstar,San Jose,OPTnation,Full-time,0,0,0,"[106000, 108000]",1,1,30,254.0,106000,108000.0
909,Staff Data Analyst,10x Genomics,Pleasanton,ZipRecruiter,Full-time,1,0,7,"[186000, 252000]",0,1,30,255.0,186000,252000.0
910,Survey Data Analyst,Survey Junkie,Sunnyvale,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",0,1,4,256.0,249600,249600.0
911,"Lead Analyst, Lifecycle Marketing",Docusign,San Francisco,Docusign Careers,Full-time,1,1,8,"[134900, 216975]",0,1,30,257.0,134900,216975.0
912,"Data Analyst, Program",LifeMoves,Menlo Park,DataAnalyst.com,Full-time,0,0,0,"[75000, 100000]",0,1,2,258.0,75000,100000.0
913,Senior Data Analyst,Visa Inc.,Foster City,Karkidi,Full-time,0,0,0,"[160000, 240000]",0,1,30,259.0,160000,240000.0
914,"IS Engineer, Data Scientist - Police (1042)",City and County of San Francisco,San Francisco,SF Careers - City And County Of San Francisco,Full-time,0,0,0,"[0, 0]",0,0,30,260.0,0,0.0
915,Data Analytics Developer,Samsung,San Jose,ZipRecruiter,Part-time,0,0,5,"[0, 0]",0,1,1,261.0,0,0.0
916,Anti-Fraud Data Analyst - USDS,TikTok,Mountain View,LinkedIn,Full-time,1,1,1,"[86000, 155000]",0,1,29,262.0,86000,155000.0
917,"Data Analyst, Autonomy",Rivian,Palo Alto,DataAnalyst.com,Contractor,0,0,5,"[94000, 108000]",0,1,9,263.0,94000,108000.0
918,Survey Data Analyst,Survey Junkie,Santa Clara,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",1,0,4,264.0,249600,249600.0
919,SENIOR DATA ANALYST,North East Medical Services,Daly City,Glassdoor,Full-time,1,1,5,"[784, 289920]",1,0,30,265.0,784,289920.0
920,Data quality analyst remote jobs,Google,Mountain View,E-Profitcenter.com,Contractor,0,0,0,"[76800, 76800]",1,0,4,266.0,76800,76800.0
921,Vice President - Cloudera Data Analytics,Cloudera,San Francisco,JobzMall,Full-time,0,0,0,"[170000, 220000]",0,1,30,267.0,170000,220000.0
922,Data Analyst II,Pinterest,San Francisco,ZipRecruiter,Full-time,0,0,3,"[114000, 200000]",0,1,11,268.0,114000,200000.0
923,Data Analyst 2,"Ursus, Inc.",San Francisco,Indeed,Part-time,0,0,0,"[67200, 86400]",0,1,25,269.0,67200,86400.0
924,"Data Scientist, Product Analytics - Machine Learning",Meta,Sunnyvale,LinkedIn,Full-time,1,0,6,"[173000, 242000]",0,1,2,270.0,173000,242000.0
925,Data Science Analyst,eBay,San Francisco,Karkidi,Full-time,0,0,3,"[120000, 190000]",0,1,30,271.0,120000,190000.0
926,Survey Data Analyst,Survey Junkie,Redwood City,Lively Vacancies,Contractor,0,0,8,"[249600, 249600]",0,1,4,272.0,249600,249600.0
927,Senior Data Analyst,Zynga,• via GameJobs.co,GameJobs.co,Contractor,1,1,4,"[105000, 155000]",0,1,30,273.0,105000,155000.0
928,"Data Analyst, Staff",Bill,San Jose,DataAnalyst.com,Part-time,0,0,6,"[127000, 152000]",0,1,9,274.0,127000,152000.0
929,Tech Data Analyst,eTeam,San Jose,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,30,275.0,0,0.0
930,Business Intelligence Data Analyst,Cynet Systems,Sunnyvale,LinkedIn,Full-time,0,0,2,"[0, 0]",0,0,10,276.0,0,0.0
931,Survey Data Analyst,Survey Junkie,San Carlos,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",0,0,4,277.0,249600,249600.0
932,Business Intelligence Data Analyst,CYNET SYSTEMS,Sunnyvale,ZipRecruiter,Full-time,0,0,2,"[0, 0]",0,0,9,278.0,0,0.0
933,Senior Technical Data Analyst,Intuit,Mountain View,LinkedIn,Full-time,0,0,0,"[0, 0]",1,1,15,279.0,0,0.0
934,"Senior Data Analyst, Advanced Analytics",Gap Inc.,San Francisco,Karkidi,Part-time,1,1,0,"[160000, 240000]",1,1,30,280.0,160000,240000.0
935,"Senior Data Analyst, Corporate FP&A",Barracuda,Campbell,DataAnalyst.com,Contractor,0,0,4,"[114000, 136000]",1,1,4,281.0,114000,136000.0
936,Configuration Data Analyst,Santa Clara Family Health Plan,San Jose,ZipRecruiter,Part-time,0,0,5,"[0, 0]",0,0,10,282.0,0,0.0
937,Survey Data Analyst,Survey Junkie,Oakland,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",0,0,4,283.0,249600,249600.0
938,Junior Data Analyst - (Entry Level),SynergisticIT,San Francisco,LinkedIn,Contractor,0,0,0,"[192000, 192000]",0,0,30,284.0,192000,192000.0
939,Survey Data Analyst,Survey Junkie,South San Francisco,Lively Vacancies,Part-time,0,0,8,"[249600, 249600]",0,0,4,285.0,249600,249600.0
940,Data Analyst,"Redolent, Inc",San Bruno,ZipRecruiter,Full-time,0,0,2,"[0, 0]",0,0,1,286.0,0,0.0
941,"Senior Data Analyst, CX",Bill,San Jose,DataAnalyst.com,Full-time,0,0,3,"[100000, 132000]",0,0,9,287.0,100000,132000.0
942,Entry Level Data Analyst/Engineer,SynergisticIT,San Francisco,LinkedIn,Full-time,0,0,0,"[192000, 192000]",0,0,30,288.0,192000,192000.0
943,Survey Data Analyst,Survey Junkie,San Bruno,Lively Vacancies,Part-time,0,0,8,"[249600, 249600]",0,0,4,289.0,249600,249600.0
944,Technical Data Analyst - Full time -W2 Consultants Only,ZIRLEN TECHNOLOGIES INCORPORATED,Mountain View,ZipRecruiter,Full-time,0,0,0,"[230400, 230400]",0,1,11,290.0,230400,230400.0
945,"Data Scientist, Product Analytics",Meta,Sunnyvale,LinkedIn,Full-time,1,0,2,"[114000, 171000]",0,1,22,291.0,114000,171000.0
946,Provider Data Analyst II,Central California Alliance for Health (Remote),Hollister,Glassdoor,Full-time,1,1,0,"[450, 203520]",0,1,9,292.0,450,203520.0
947,Survey Data Analyst,Survey Junkie,Half Moon Bay,Lively Vacancies,Contractor,0,0,8,"[249600, 249600]",0,1,4,293.0,249600,249600.0
948,Remote Data Analyst,InterSources,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time and Part-time,0,0,3,"[0, 0]",0,0,30,294.0,0,0.0
949,Data Science Analyst,Claritas Rx,South San Francisco,LinkedIn,Contractor,0,0,2,"[75000, 110000]",0,0,29,295.0,75000,110000.0
950,Software Engineer 2 - Audit Data Analyst,Intuit,Mountain View,Intuit Careers,Full-time,0,0,0,"[0, 0]",0,0,30,296.0,0,0.0
951,Data Science Specialist,eJAmerica,Mountain View,LinkedIn,Full-time,0,0,5,"[105600, 124800]",1,1,17,297.0,105600,124800.0
952,"Senior Manager, Data Analytics - Walmart Connect Advertising Sales",Walmart,Redwood City,ZipRecruiter,Contractor,1,1,6,"[108000, 216000]",1,1,3,298.0,108000,216000.0
953,Data Analyst 2,"Ursus, Inc.",San Francisco,LinkedIn,Full-time,0,0,0,"[67200, 86400]",1,1,25,299.0,67200,86400.0
954,Reporting Analyst Marketing dept: 24-02369,Akraya Inc.,Palo Alto,Akraya,Full-time,0,0,3,"[67200, 76800]",0,0,13,300.0,67200,76800.0
955,"Senior data analyst / data warehouse consultant at Elegant Enterprise Wide Solutions San Jose, CA",Elegant Enterprise Wide Solutions,San Jose,Haz Tu Party · Arroyomolinos Y Alcorcon,Contractor,0,0,7,"[0, 0]",0,0,19,301.0,0,0.0
956,Data Analyst,RAMPS International Inc.,San Jose,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,30,302.0,0,0.0
957,Junior Data Analyst/Scientist/Engineer,SynergisticIT,Oakland,LinkedIn,Contractor,0,0,0,"[0, 0]",0,0,30,303.0,0,0.0
958,Data Engineer,InterSources Inc,Santa Clara,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,30,304.0,0,0.0
959,Engineering Operations Data Analyst,ACL Digital,San Jose,ZipRecruiter,Full-time,0,0,2,"[0, 0]",0,0,30,305.0,0,0.0
960,Business Analyst (Data Governance),Enexus Global Inc.,San Francisco,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,25,306.0,0,0.0
961,Data Science Analyst,Cynet Systems,Sunnyvale,ZipRecruiter,Part-time,0,0,5,"[124800, 134400]",0,0,30,307.0,124800,134400.0
962,Data Analyst III (1059121),The Judge Group,San Jose,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,30,308.0,0,0.0
963,Sr. Marketing Data Analyst,"Talent Space, Inc.",Anywhere • via ZipRecruiter,ZipRecruiter,Part-time,0,0,7,"[0, 0]",0,1,30,309.0,0,0.0
964,"Data Scientist, Ads Insight and Measurement",Google,Mountain View,LinkedIn,Full-time,1,0,3,"[127000, 187000]",0,1,22,310.0,127000,187000.0
965,Data Analyst/Power BI specialist/purchasing specialist,TekOne IT Services Pvt. Ltd.,Alameda,LinkedIn,Full-time,0,0,5,"[0, 0]",0,1,30,311.0,0,0.0
966,Survey Data Analyst,Survey Junkie,Fairfield,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",0,1,4,312.0,249600,249600.0
967,Design Program Manager - Data Analyst,"ICONMA, LLC",San Francisco,ZipRecruiter,Contractor,0,0,3,"[0, 0]",0,0,9,313.0,0,0.0
968,"Data Analyst (Bangkok Based, relocation provided)",Agoda,Oakland,LinkedIn,Internship,0,0,0,"[0, 0]",0,0,5,314.0,0,0.0
969,Survey Data Analyst,Survey Junkie,American Canyon,Lively Vacancies,Full-time,0,0,8,"[249600, 249600]",0,0,4,315.0,249600,249600.0
970,"Business system Analyst (Order Management & Execution)- MM, PP, SD (VC)",NLB Services,Fremont,LinkedIn,Full-time,0,0,7,"[0, 0]",1,1,1,,0,0.0
971,Business Analyst II,Elevance Health,Walnut Creek,LinkedIn,Full-time,1,1,3,"[63888, 104544]",1,1,1,,63888,104544.0
972,Quality Assurance/Business Analyst,Beta.SoftSystems,Fremont,ZipRecruiter,Full-time,0,0,0,"[0, 0]",1,1,7,,0,0.0
973,Business Analyst III (Software),Xoriant Corporation,Santa Clara,Dice,Contractor,0,0,0,"[105600, 115200]",0,1,2,,105600,115200.0
974,SAP Functional Business Analyst (SAP SD),Palo Alto Networks,Santa Clara,Palo Alto Networks,Full-time,0,0,5,"[103600, 168300]",0,1,9,,103600,168300.0
975,Sr. Business Systems Analyst,Pendo.io,San Francisco,LinkedIn,Full-time,1,0,5,"[0, 0]",0,1,2,,0,0.0
976,"Expert, Business Analyst (Flexible location)",PG&E Corporation,Oakland,Pacific Gas And Electric Company - PG&E,Full-time,0,0,0,"[114000, 114000]",0,1,10,,114000,114000.0
977,IS Business Analyst- Senior - Information Technology– San Francisco Human Services Agency (1053) (143216),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",1,1,30,,0,0.0
978,Staff Business Analyst,Sequoia Biotech Consulting,Hayward,ZipRecruiter,Full-time,1,1,9,"[114124, 171187]",1,0,3,,114124,171187.0
979,AGS- Business Systems Analyst III,"Iron Systems, Inc",Sunnyvale,LinkedIn,Full-time,0,0,0,"[0, 0]",1,0,2,,0,0.0
980,1053-IS Business Analyst-Senior,City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
981,Business Analyst,Face Reality Skincare,Danville,Ladders,Full-time,1,0,5,"[90000, 110000]",1,0,3,,90000,110000.0
982,IT Digital Workplace Business Analyst,Protingent,Sunnyvale,Protingent,Contractor,1,1,1,"[130560, 130560]",1,0,6,,130560,130560.0
983,Senior Business Analyst,First Citizens Bank,San Francisco,First Citizens Careers - First Citizens Bank,Full-time,1,0,6,"[137855, 186509]",1,0,30,,137855,186509.0
984,Business Analyst (Functional) Consultant,Info Way Solutions,Fremont,LinkedIn,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
985,"Business Analyst, Supply Chain Operations (Contract)",Pure Storage,Santa Clara,Greenhouse,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
986,Oracle P2R Business Analyst,Five Cubes Inc,San Jose,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,3,,0,0.0
987,Business Analyst/ Sr. Business Analyst,Stars Group,San Francisco,Ladders,Full-time,0,0,4,"[0, 0]",0,0,2,,0,0.0
988,"Business Intelligence/Data Analyst, Customer Success",Block,San Francisco,LinkedIn,Full-time,0,0,3,"[111700, 167500]",0,0,2,,111700,167500.0
989,Athletics Business Analyst,San José State University,San Jose,Inside Higher Ed Careers,Full-time,1,0,0,"[4379, 7922]",0,0,30,,4379,7922.0
990,IT Digital Workplace Business Analyst. W2 Only. Locals only,Maxonic,Sunnyvale,ZipRecruiter,Full-time,0,0,1,"[134400, 142080]",0,0,4,,134400,142080.0
991,Technical Business Analyst,BayOne,Pleasanton,Glassdoor,Contractor,0,0,1,"[0, 0]",0,0,9,,0,0.0
992,Commercial Business Analyst,Smart IT Frame LLC,Foster City,LinkedIn,Full-time and Part-time,0,0,1,"[0, 0]",1,1,3,,0,0.0
993,"Analytics Manager, Business Analysis and Insights",Walmart,Sunnyvale,Walmart Careers,Full-time,1,1,5,"[91000, 169000]",1,1,30,,91000,169000.0
994,JUSTIS Senior IS Business Analyst - Department of Technology (1053),City and County of San Francisco,San Francisco,SF Careers - City Of San Francisco,Full-time,0,0,0,"[0, 0]",1,1,11,,0,0.0
995,Senior HR Data Analyst,Cloud Software Group,Santa Clara,Cloud Software Group,Full-time,1,0,7,"[0, 0]",1,1,30,,0,0.0
996,"Business Systems Analyst, Design Technology",Tesla,Palo Alto,Indeed,Contractor,1,1,0,"[68000, 222000]",1,1,30,,68000,222000.0
997,Business Systems Analyst - Solidworks,JBL Resources,Sunnyvale,JBL Resources,Full-time,0,0,5,"[126720, 126720]",1,1,30,,126720,126720.0
998,Business Systems Analyst,odoo,Brisbane,Glassdoor,Full-time,0,0,2,"[0, 0]",0,1,12,,0,0.0
999,SAP Functional Business Analyst SAP SD,Palo Alto Networks,Santa Clara,WayUp,Full-time,0,0,5,"[103600, 168300]",1,1,4,,103600,168300.0
1000,Business Analyst,Albertsons Companies,Pleasanton,Indeed,Full-time,1,1,0,"[192000, 199680]",1,1,16,,192000,199680.0
1001,TEMPORARY BUSINESS ANALYST,University of California Office of the President,Oakland,Higher Education Recruitment Consortium,Full-time,1,0,3,"[59520, 82560]",1,1,21,,59520,82560.0
1002,"Business Systems Analyst, Financial Applications",Google,Sunnyvale,LinkedIn,Full-time,1,0,3,"[102000, 150000]",0,1,19,,102000,150000.0
1003,Business Analyst - Remote,Stanford University,Stanford,Inside Higher Ed Careers,Full-time,1,0,0,"[0, 0]",0,1,30,,0,0.0
1004,IS Business Analyst - Human Services Agency (1052),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",1,0,30,,0,0.0
1005,"Guidewire Business Analyst Lead, Manager",PwC,Anywhere • via Built In,Built In,Full-time,1,1,5,"[100000, 232000]",1,0,1,,100000,232000.0
1006,Business Analyst II (Full Time) United States,Cisco,Campbell,Adzuna,Full-time,0,0,3,"[0, 0]",1,1,30,,0,0.0
